dilution_rate_per_h,strain,entry_expression,model,prediction_scope,biomass_feed_g_per_L,biomass_source,biomass_scope,answered,refusal,content_mg_per_gdcw,content_low_mg_per_gdcw,content_high_mg_per_gdcw,biomass_g_per_L,titre_mg_per_L,titre_low_mg_per_L,titre_high_mg_per_L,productivity_mg_per_L_h,product_rate_mmol_per_gdcw_h,yield_mg_per_g_glucose,biomass_yield_g_per_g
0.1,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,False,"node 'lycopene': growth rate 0.1 /h is outside the range its kinetics were fitted over, [0.101, 0.2543]",,,,,,,,,,,
0.1,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,False,"node 'lycopene': growth rate 0.1 /h is outside the range its kinetics were fitted over, [0.101, 0.2543]",,,,,,,,,,,
0.1,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,False,"node 'lycopene': growth rate 0.1 /h is outside the range its kinetics were fitted over, [0.101, 0.2543]",,,,,,,,,,,
0.12,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.7229776642279571,0.6282007323445674,0.8163421005478333,9.68,6.998423789726624,6.080983089095413,7.902191533303026,0.8398108547671949,0.00016159837522557573,0.3593709393779114,0.484
0.12,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,1.0414031363103489,0.9833722637372172,1.0867643587758429,9.68,10.080782359484177,9.519043512976262,10.519878992950158,1.2096938831381012,0.0002327721354466479,0.5176508789750813,0.484
0.12,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,1.1111420701440335,1.073008735343658,1.140447002930088,9.68,10.755855238994245,10.386724558126609,11.039526988363251,1.2907026286793093,0.0002483600283444484,0.5523160524694636,0.484
0.15,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.6175168889907323,0.5276554218017062,0.7120694712127282,9.8,6.051665512109177,5.171023133656721,6.9782808178847375,0.9077498268163765,0.0001725325187635924,0.30243552576993604,0.49
0.15,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.9758395028540854,0.9023832529975414,1.0354324179507979,9.8,9.563227127970038,8.843355879375906,10.14723769591782,1.4344840691955056,0.00027264687061693296,0.47792787270175796,0.49
0.15,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,1.0679681325059487,1.0172038558839493,1.1072632269537817,9.8,10.466087698558297,9.968597787662704,10.851179624147061,1.5699131547837446,0.0002983873561120798,0.5230488581257585,0.49
0.18,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.5353860220223939,0.45283056430200674,0.6258369763398046,9.68,5.182536693176774,4.383399862443425,6.0581019309693085,0.9328566047718192,0.00017950245676612756,0.2596653135832629,0.484
0.18,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.909487704198318,0.8247240002088032,0.9817252107629871,9.68,8.803840976639718,7.983328322021215,9.503100040185716,1.584691375795149,0.0003049300328863547,0.4411067906081792,0.484
0.18,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,1.0222615521207519,0.9593263698717669,1.0719087547354138,9.68,9.895491824528877,9.286279260358704,10.376076745838805,1.7811885284151978,0.00034274047605888823,0.49580275834030857,0.484
0.2,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.490808939537581,0.4131835374337447,0.5774220268161759,9.6,4.711765819560777,3.9665619593639487,5.5432514574352885,0.9423531639121555,0.00018284088868351033,0.23689519438642992,0.48
0.2,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.866227537536516,0.7764676519689513,0.9454241029125193,9.6,8.315784360350554,7.454089458901932,9.076071387960186,1.6631568720701109,0.0003226954523577462,0.4180957687545931,0.48
0.2,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.9908803169776256,0.9206067405666906,1.0473325752623073,9.6,9.512451042985205,8.837824709440229,10.05439272251815,1.9024902085970412,0.00036913231023436797,0.47826102255851116,0.48
0.22,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.4526474073737094,0.3796843235233733,0.5351816624007395,9.6,4.34541511078761,3.6449695058243834,5.137743959047099,0.9559913243732743,0.00018548704457730191,0.22109775671007129,0.48
0.22,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.8245128769687746,0.7315901913017473,0.9093019609601212,9.6,7.915323618900236,7.0232658364967735,8.729298825217162,1.7413711961580518,0.00033787105432065567,0.40273719567746546,0.48
0.22,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.9591618955087148,0.8824415532598139,1.0221297716339455,9.6,9.207954196883662,8.471438911294213,9.812445807685876,2.0257499233144056,0.0003930478831223895,0.46850714256642384,0.48
0.25,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.4049132653417881,0.3382730277275361,0.4814279283122573,9.6,3.887167347281166,3.2474210661843466,4.62170811179767,0.9717918368202915,0.00018855275268770286,0.20067145936835323,0.48
0.25,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.7657421970905148,0.6708295629835757,0.8563891968044669,9.6,7.351125092068942,6.439963804642326,8.221336289322881,1.8377812730172356,0.0003565771029720951,0.3794951100462857,0.48
0.25,b-car4,0.8220245785,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,True,,0.9116808776908191,0.8272194640937067,0.9835364077158026,9.6,8.752136425831862,7.941306855299584,9.441949514071705,2.1880341064579656,0.0004245352122910663,0.451821038883502,0.48
0.3,b-car2,0.25806685149999997,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,False,"node 'lycopene': growth rate 0.3 /h is outside the range its kinetics were fitted over, [0.101, 0.2543]",,,,,,,,,,,
0.3,b-car3,0.58856938,fixed_CrtE_rate_law,exploratory fixed-gene empirical comparison; not nested validation,20.0,van Hoek 1998 glucose-limited chemostats,conditional scaling only; no feed effect on product model,False,"node 'lycopene': growth rate 0.3 /h is outside the range its kinetics were fitted over, [0.101, 0.2543]",,,,,,,,,,,
