doi,registry,title,journal,year,cited_in
10.1002/bit.10617,crossref,Optimization‐based framework for inferring and testing hypothesized metabolic objective functions,Biotechnology and Bioengineering,2003,docs/research/HYBRID_METHODS.md:141
10.1002/bit.24748,crossref,A reliable simulator for dynamic flux balance analysis,Biotechnology and Bioengineering,2012,docs/research/HYBRID_METHODS.md:292
10.1002/bit.26473,crossref,"A synthetic biology approach to transform
                    <i>Yarrowia lipolytica</i>
                    into a competitive biotechnological producer of β‐carotene",Biotechnology and Bioengineering,2017,docs/research/CALIBRATION_DATA.md:376
10.1002/bit.27714,crossref,A genome‐scale metabolic network model and machine learning predict amino acid concentrations in Chinese Hamster Ovary cell cultures,Biotechnology and Bioengineering,2021,docs/research/HYBRID_METHODS.md:295
10.1002/bit.27907,crossref,Knowledge transfer across cell lines using hybrid Gaussian process models with entity embedding vectors,Biotechnology and Bioengineering,2021,docs/research/HYBRID_METHODS.md:334
10.1002/bit.28366,crossref,How reliable are Chinese hamster ovary (CHO) cell genome‐scale metabolic models?,Biotechnology and Bioengineering,2023,docs/research/HYBRID_METHODS.md:337
10.1002/j.1460-2075.1994.tb06304.x,crossref,YAP1 dependent activation of TRX2 is essential for the response of Saccharomyces cerevisiae to oxidative stress by hydroperoxides,The EMBO Journal,1994,docs/research/UPR_ANCHOR.md:754
10.1002/jcp.1030410103,crossref,Anaerobic nutrition of Saccharomyces cerevisiae. I. Ergosterol requirement for growth in a defined medium,Journal of Cellular and Comparative Physiology,1953,docs/research/GENERATOR_REALISM.md:301
10.1002/jcp.1030430303,crossref,Anaerobic nutrition of saccharomyces cerevisiae. II. Unsaturated fatty and requirement for growth in a defined medium,Journal of Cellular and Comparative Physiology,1954,src/ystwin/fba/stress_oxygen.py:215
10.1002/yea.1807,crossref,Heterologous carotenoid production in <i>Saccharomyces cerevisiae</i> induces the pleiotropic drug resistance stress response,Yeast,2010,docs/research/CALIBRATION_DATA.md:374
10.1006/jtbi.1993.1099,crossref,An Unexpected Correlation between Cardinal Temperatures of Microbial Growth Highlighted by a New Model,Journal of Theoretical Biology,1993,docs/research/GENERATOR_REALISM.md:254
10.1006/jtbi.2001.2405,crossref,Regulation of Gene Expression in Flux Balance Models of Metabolism,Journal of Theoretical Biology,2001,docs/research/HYBRID_METHODS.md:98
10.1007/3-540-59496-5_337,crossref,Noise and the reality gap: The use of simulation in evolutionary robotics,Lecture Notes in Computer Science,1995,docs/research/CIRCULARITY.md:165
10.1007/978-3-0348-7836-4,crossref,Carotenoids,,2004,docs/PRODUCT_ARCHITECTURE.md:294;docs/research/PRODUCT_OBSERVATION.md:121;src/ystwin/observation.py:228
10.1007/bf02288062,crossref,On the Rank of the Reduced Correlational Matrix in Multiple-Factor Analysis,Psychometrika,1937,docs/research/IDENTIFIABILITY.md:114
10.1007/s00249-010-0612-0,crossref,Biophysical properties of Saccharomyces cerevisiae and their relationship with HOG pathway activation,European Biophysics Journal,2010,src/ystwin/mech/cell_wall_talemi2016.py:366
10.1007/s10295-009-0638-4,crossref,Biotechnological strains of Komagataella (Pichia) pastoris are Komagataella phaffii as determined from multigene sequence analysis,Journal of Industrial Microbiology &amp; Biotechnology,2009,docs/research/GENERALIZATION.md:373;docs/research/GENERALIZATION.md:720
10.1007/s10295-016-1808-9,crossref,Characterization of an evolved carotenoids hyper-producer of <i>Saccharomyces cerevisiae</i> through bioreactor parameter optimization and Raman spectroscopy,Journal of Industrial Microbiology and Biotechnology,2016,docs/research/CALIBRATION_DATA.md:370
10.1007/s10529-011-0603-y,crossref,Identification of reference genes suitable for normalization of RT-qPCR expression data in Saccharomyces cerevisiae during alcoholic fermentation,Biotechnology Letters,2011,docs/research/UPR_ANCHOR.md:726
10.1007/s11222-022-10090-6,crossref,Graphical test for discrete uniformity and its applications in goodness-of-fit evaluation and multiple sample comparison,Statistics and Computing,2022,docs/research/CIRCULARITY.md:176
10.1016/0006-3002(56)90380-8,crossref,"The flattering of the absorption spectrum of suspensions, as compared to that of solutions",Biochimica et Biophysica Acta,1956,docs/research/PRODUCT_OBSERVATION.md:82;src/ystwin/observation.py:24;src/ystwin/observation.py:291
10.1016/0024-3795(85)90038-2,crossref,Identifiability of factor analysis: some results and open problems,Linear Algebra and its Applications,1985,docs/research/IDENTIFIABILITY.md:115
10.1016/j.ab.2006.06.020,crossref,Error propagation in relative real-time reverse transcription polymerase chain reaction quantification models: The balance between accuracy and precision,Analytical Biochemistry,2006,docs/research/G4_STATISTICS.md:117
10.1016/j.ab.2015.10.012,crossref,A PCR-based approach to assess genomic DNA contamination in RNA: Application to rat RNA samples,Analytical Biochemistry,2016,docs/research/G4_STATISTICS.md:113
10.1016/j.bbabio.2025.149564,crossref,ATP requirements for growth reveal the bioenergetic impact of mitochondrial symbiosis,Biochimica et Biophysica Acta (BBA) - Bioenergetics,2025,src/ystwin/fba/insulin.py:161
10.1016/j.bpj.2022.09.021,crossref,Maturation models of fluorescent proteins are necessary for unbiased estimates of promoter activity,Biophysical Journal,2022,docs/research/EXTERNAL_DATA.md:366
10.1016/j.febslet.2004.03.091,crossref,Regulation of the yeast phospholipid hydroperoxide glutathione peroxidase <i>GPX2</i> by oxidative stress is mediated by Yap1 and Skn7,FEBS Letters,2004,docs/research/UPR_ANCHOR.md:764
10.1016/j.febslet.2004.05.077,crossref,Distinct regulatory mechanism of yeast <i>GPX2</i> encoding phospholipid hydroperoxide glutathione peroxidase by oxidative stress and a calcineurin/Crz1‐mediated Ca<sup>2+</sup> signaling pathway,FEBS Letters,2004,docs/research/UPR_ANCHOR.md:766
10.1016/j.ijfoodmicro.2009.01.035,crossref,"Effects of temperature, pH and sugar concentration on the growth parameters of Saccharomyces cerevisiae, S. kudriavzevii and their interspecific hybrid",International Journal of Food Microbiology,2009,docs/research/GENERATOR_REALISM.md:399
10.1016/j.isci.2026.116820,crossref,Causal AI digital twin for bioprocess bottleneck diagnosis via metabolic flexibility and rigidification maps,iScience,2026,docs/research/HYBRID_METHODS.md:50
10.1016/j.jbiotec.2021.12.003,crossref,Mathematical model of the multi-amino acid multi-transporter system predicts uptake flux in CHO cells,Journal of Biotechnology,2022,docs/research/HYBRID_METHODS.md:290
10.1016/j.jbiotec.2025.08.010,crossref,A novel dynamic flux balance analysis for modeling CHO cell fed-batch cultures with pH and temperature shifts,Journal of Biotechnology,2025,docs/research/HYBRID_METHODS.md:99
10.1016/j.mec.2025.e00267,crossref,Model-guided chemical environment and metabolic network design to couple pathways with cell fitness,Metabolic Engineering Communications,2025,docs/research/CALIBRATION_DATA.md:373
10.1016/j.molcel.2008.01.021,crossref,Diverse Two-Dimensional Input Functions Control Bacterial Sugar Genes,Molecular Cell,2008,docs/research/GENERALIZATION.md:326;docs/research/GENERALIZATION.md:699
10.1016/j.ymben.2003.09.002,crossref,The effects of alternate optimal solutions in constraint-based genome-scale metabolic models,Metabolic Engineering,2003,docs/research/HYBRID_METHODS.md:293
10.1016/j.ymben.2013.11.002,crossref,Improving carotenoids production in yeast via adaptive laboratory evolution,Metabolic Engineering,2014,docs/research/CALIBRATION_DATA.md:369
10.1016/j.ymben.2019.03.001,crossref,Metabolic engineering of Chinese hamster ovary cells towards reduced biosynthesis and accumulation of novel growth inhibitors in fed-batch cultures,Metabolic Engineering,2019,docs/research/HYBRID_METHODS.md:267
10.1016/j.ymben.2019.09.005,crossref,Reprogramming AA catabolism in CHO cells with CRISPR/Cas9 genome editing improves cell growth and reduces byproduct secretion,Metabolic Engineering,2019,docs/research/HYBRID_METHODS.md:290
10.1016/j.ymben.2023.04.009,crossref,Evaluating proteome allocation of Saccharomyces cerevisiae phenotypes with resource balance analysis,Metabolic Engineering,2023,docs/research/HYBRID_METHODS.md:424
10.1016/j.ymben.2024.02.012,crossref,COSMIC-dFBA: A novel multi-scale hybrid framework for bioprocess modeling,Metabolic Engineering,2024,docs/PRODUCT_ARCHITECTURE.md:157;docs/research/CALIBRATION_DATA.md:362;docs/research/CHEMOSTAT_REFERENCE.md:123;docs/research/HYBRID_METHODS.md:328;docs/research/HYBRID_METHODS.md:4;docs/research/KINETIC_FIT.md:408
10.1016/j.ymben.2024.07.009,crossref,Multi-omic characterization of antibody-producing CHO cell lines elucidates metabolic reprogramming and nutrient uptake bottlenecks,Metabolic Engineering,2024,docs/research/HYBRID_METHODS.md:105
10.1016/j.ymben.2025.03.010,crossref,NEXT-FBA: A hybrid stoichiometric/data-driven approach to improve intracellular flux predictions,Metabolic Engineering,2025,docs/research/HYBRID_METHODS.md:312
10.1016/s0024-3795(96)00363-1,crossref,Generic global indentification in factor analysis,Linear Algebra and its Applications,1997,docs/research/IDENTIFIABILITY.md:116
10.1016/s0092-8674(00)80369-4,crossref,The Transmembrane Kinase Ire1p Is a Site-Specific Endonuclease That Initiates mRNA Splicing in the Unfolded Protein Response,Cell,1997,docs/research/UPR_ANCHOR.md:593
10.1016/s0092-8674(00)80835-1,crossref,Functional and Genomic Analyses Reveal an Essential Coordination between the Unfolded Protein Response and ER-Associated Degradation,Cell,2000,docs/research/UPR_ANCHOR.md:662
10.1016/s0092-8674(00)81360-4,crossref,A Novel Mechanism for Regulating Activity of a Transcription Factor That Controls the Unfolded Protein Response,Cell,1996,docs/research/UPR_ANCHOR.md:584;src/ystwin/citations.py:152;src/ystwin/citations.py:180;tests/test_citations.py:239;tests/test_citations.py:242
10.1016/s0092-8674(00)81361-6,crossref,tRNA Ligase Is Required for Regulated mRNA Splicing in the Unfolded Protein Response,Cell,1996,docs/research/UPR_ANCHOR.md:588
10.1016/s0092-8674(01)00505-0,crossref,Block of HAC1 mRNA Translation by Long-Range Base Pairing Is Released by Cytoplasmic Splicing upon Induction of the Unfolded Protein Response,Cell,2001,docs/research/UPR_ANCHOR.md:611
10.1016/s0167-6377(98)00054-6,crossref,Monte Carlo bounding techniques for determining solution quality in stochastic programs,Operations Research Letters,1999,docs/research/CIRCULARITY.md:155
10.1016/s0960-9822(06)00373-3,crossref,Translational attenuation mediated by an mRNA intron,Current Biology,1997,docs/research/UPR_ANCHOR.md:605
10.1021/acssynbio.0c00296,crossref,"FlopR: An Open Source Software Package for Calibration
and Normalization of Plate Reader and Flow Cytometry Data",ACS Synthetic Biology,2020,docs/research/EXTERNAL_DATA.md:324
10.1021/acssynbio.0c00554,crossref,Flapjack: Data Management and Analysis for Genetic Circuit Characterization,ACS Synthetic Biology,2020,docs/research/TOOLING.md:365
10.1021/acssynbio.1c00387,crossref,"Systematic
                    <i>In Vivo</i>
                    Characterization of Fluorescent Protein Maturation in Budding Yeast",ACS Synthetic Biology,2022,docs/research/EXTERNAL_DATA.md:340;docs/research/EXTERNAL_DATA.md:39;docs/research/GENERALIZATION.md:205;docs/research/GENERALIZATION.md:714
10.1021/acssynbio.5c00256,crossref,Complex Kinetic Models Predict β-Carotene Production and Reveal Flux Limitations in Recombinant <i>Saccharomyces cerevisiae</i> Strains,ACS Synthetic Biology,2025,docs/EXTERNAL_PRODUCT_VALIDATION.md:13;docs/research/CALIBRATION_DATA.md:361;docs/research/CALIBRATION_DATA.md:6;docs/research/KINETIC_FIT.md:5;scripts/fit_pathway_flux.py:31;src/ystwin/kinetic/carotenoid.py:212;src/ystwin/pathway/calibrations.py:35;tests/test_pathway_flux.py:39
10.1021/es801489a,crossref,Toxicant Identification by a Luminescent Bacterial Bioreporter Panel: Application of Pattern Classification Algorithms,Environmental Science &amp; Technology,2008,docs/research/HYBRID_METHODS.md:71
10.1021/jf00015a013,crossref,"Relative solubility, stability, and absorptivity of lutein and .beta.-carotene in organic solvents",Journal of Agricultural and Food Chemistry,1992,docs/research/PRODUCT_OBSERVATION.md:107
10.1038/msb.2009.82,crossref,Shifts in growth strategies reflect tradeoffs in cellular economics,Molecular Systems Biology,2009,docs/research/HYBRID_METHODS.md:380
10.1038/msb.2013.14,crossref,Dissecting specific and global transcriptional regulation of bacterial gene expression,Molecular Systems Biology,2013,docs/research/EXTERNAL_DATA.md:281
10.1038/msb.2013.59,crossref,Promoters maintain their relative activity levels under different growth conditions,Molecular Systems Biology,2013,docs/research/EXTERNAL_DATA.md:271
10.1038/msb4100162,crossref,Systematic evaluation of objective functions for predicting intracellular fluxes in Escherichia coli,Molecular Systems Biology,2007,docs/research/HYBRID_METHODS.md:182
10.1038/nature12477,crossref,Signatures of mutational processes in human cancer,Nature,2013,docs/research/HYBRID_METHODS.md:81
10.1038/nbt0102-87,crossref,A variant of yellow fluorescent protein with fast and efficient maturation for cell-biological applications,Nature Biotechnology,2002,docs/research/GENERATOR_REALISM.md:348
10.1038/ncomms1150,crossref,Integrated multilaboratory systems biology reveals differences in protein metabolism between two reference yeast strains,Nature Communications,2010,docs/research/EXTERNAL_DATA.md:451
10.1038/nmeth.4509,crossref,Systematic characterization of maturation time of fluorescent proteins in living cells,Nature Methods,2017,docs/research/EXTERNAL_DATA.md:358;docs/research/GENERALIZATION.md:472;docs/research/GENERALIZATION.md:711
10.1038/nmeth1008,crossref,Single-cell quantification of molecules and rates using open-source microscope-based cytometry,Nature Methods,2007,docs/research/EXTERNAL_DATA.md:349
10.1038/nmeth895,crossref,A comprehensive library of fluorescent transcriptional reporters for Escherichia coli,Nature Methods,2006,docs/research/EXTERNAL_DATA.md:256;docs/research/GENERALIZATION.md:316;docs/research/GENERALIZATION.md:693
10.1038/nprot.2006.236,crossref,Quantification of mRNA using real-time RT-PCR,Nature Protocols,2006,docs/research/G4_STATISTICS.md:125
10.1038/s41467-019-13483-w,crossref,The Escherichia coli transcriptome mostly consists of independently regulated modules,Nature Communications,2019,docs/research/HYBRID_METHODS.md:72
10.1038/s41467-020-15749-0,crossref,Nitrogen limitation reveals large reserves in metabolic and translational capacities of yeast,Nature Communications,2020,docs/research/HYBRID_METHODS.md:415
10.1038/s41467-022-28467-6,crossref,Whole-cell modeling in yeast predicts compartment-specific proteome constraints that drive metabolic strategies,Nature Communications,2022,docs/research/HYBRID_METHODS.md:365;docs/research/HYBRID_METHODS.md:409
